timestep,reward
3,0.565
246,0.505
521,0.59
848,0.52
1158,0.085
1493,0.435
1761,-0.035
2060,0.655
2375,1.325
2645,0.88
2913,1.275
3238,1.755
3564,1.605
3824,1.715
4089,1.485
4381,2.165
4709,2.06
5016,1.66
5314,2.245
5623,2.045
5908,1.47
6227,2.325
6576,2.11
6929,2.115
7256,2.025
7549,1.81
7835,1.895
8143,2.685
8459,1.86
8785,1.915
9077,2.065
9428,1.715
9751,2.065
10060,1.12
10405,1.33
10739,1.98
11088,1.865
11414,1.805
11756,1.56
12059,1.395
12387,1.57
12718,1.64
13068,1.86
13372,2.625
13713,1.64
14071,1.745
14431,2.26
14761,2.19
15078,1.845
15410,2.26
15801,1.81
16114,1.785
16460,1.83
16824,2.06
17199,2.015
17562,2.725
17870,2.265
18191,2.145
18537,2.305
18899,2.81
19184,1.715
19541,2.155
19905,2.6
20236,2.585
20580,2.225
20898,2.145
21248,2.435
21622,1.795
21942,2.11
22287,2.04
22622,1.755
22979,1.315
23338,1.66
23620,2.095
23992,2.63
24367,2.53
24665,2.315
24998,1.985
25365,1.945
25753,1.835
26112,1.525
26464,2.24
26817,2.235
27198,1.335
27577,2.08
27974,1.98
28301,2.435
28607,2.27
28915,1.74
29255,1.555
29560,1.46
29892,2.215
30242,1.925
30573,2.065
30932,2.155
31314,1.26
31671,2.195
32058,1.595
32414,1.775
32805,2.01
33210,2.135
33566,1.635
33908,2.46
34252,2.38
34627,1.705
35022,2.345
35407,2.555
35797,1.71
36214,2.16
36566,2.64
36944,2.08
37293,1.565
37643,2.67
38009,1.745
38393,1.86
38771,0.87
39171,2.22
39505,1.76
39880,1.83
40296,1.49
40688,2.285
41010,1.995
41405,2.185
41756,1.635
42146,1.79
42554,2.17
42970,2.2
43339,1.395
43771,1.73
44124,2.595
44532,2.1
44897,2.34
45335,2.165
45743,2.255
46160,2.34
46544,2.2
46918,1.835
47283,1.81
47664,2.495
48005,2.475
48417,1.935
48785,2.31
49174,2.485
49521,2.67
49921,2.04
50313,2.35
50681,2.61
51112,2.39
51512,2.405
51902,2.24
52302,2.695
52677,2.055
53032,2.655
53401,2.52
53728,1.905
54124,2.67
54482,1.35
54835,2.345
55215,2.205
55606,2.375
56001,1.915
56379,2.06
56777,2.245
57157,2.34
57500,2.445
57896,1.42
58228,1.97
58600,1.86
58995,2.115
59342,1.705
59789,2.475
60165,2.235
60554,2.05
60977,2.805
61395,2.17
61790,2.63
62187,2.09
62612,2.58
63001,2.105
63427,1.89
63845,2.32
64245,1.99
64695,2.015
65094,2.055
65494,2.78
65921,2.39
66345,1.895
66713,1.845
67132,2.485
67497,1.975
67918,2.69
68355,2.39
68772,2.555
69168,1.765
69615,1.63
70027,1.46
70445,1.955
70843,1.775
71285,2.315
71722,2.555
72136,2.385
72541,2.15
72928,2.4
73345,1.74
73765,1.95
74202,2.145
74573,2.245
74996,1.775
75408,2.065
75799,2.45
76220,2.09
76555,2.095
76923,2.175
77365,1.945
77744,2.265
78126,2.68
78564,1.605
78982,2.065
79392,1.845
79801,2.765
80187,1.86
80567,2.385
81006,2.88
81411,2.5
81806,2.015
82191,2.53
82581,2.21
82961,2.555
83354,1.775
83759,1.895
84167,2.165
84572,2.275
84976,1.215
85342,1.86
85714,2.68
86094,2.335
86570,2.795
86980,2.3
87392,2.2
87798,2.76
88183,1.78
88583,2.015
89033,2.2
89420,2.06
89789,1.87
90157,1.845
90583,2.65
90974,2.345
91356,1.965
91757,1.89
