timestep,reward
4,-0.335
960,0.14
1913,-0.245
2812,-0.21
3742,-0.17
4703,0.205
5669,-0.375
6575,-0.135
7560,0.05
8501,-0.4
9380,-0.16
10316,-0.01
11219,-0.22
12301,-0.105
13235,-0.165
14140,0.06
15124,-0.16
16012,0.225
17022,0.9
18711,2.175
21998,1.875
25672,2.43
29509,1.51
33576,1.38
38043,2.595
41738,1.44
45760,2.045
50017,1.445
54102,2.37
57566,1.375
61133,2.2
64987,2.4
68577,2.445
71926,1.455
74914,1.5
77464,1.735
80146,1.565
82905,2.225
85500,1.5
88129,1.875
90648,2.51
93345,1.41
95937,2.17
98524,1.685
101209,1.615
103926,1.2
107272,1.615
110601,2.565
114037,1.715
116628,2.065
119738,1.94
123451,2.53
126945,1.87
131012,2.38
134457,1.71
137563,1.72
140531,1.68
144086,1.83
146960,1.98
149835,1.86
152914,2.01
156484,1.78
159481,2.3
162066,2.315
165166,1.885
168454,1.375
171429,1.705
174988,2.375
178351,2.415
182375,3.07
185800,1.815
189647,2.06
193656,2.485
196816,1.75
200231,1.73
203254,2.475
206177,2.47
209558,2.095
212665,2.055
215394,1.005
218308,1.64
221827,1.735
225006,2.085
227672,1.555
230708,2.58
234570,2.375
238456,2.34
241993,2.655
244979,1.57
247909,2.2
251282,2.175
254559,2.62
258483,2.315
262837,2.505
266921,2.595
270767,1.895
274223,1.81
277554,3.525
280708,2.725
283761,1.485
